City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
260,Pacific Grove,US,36.6177,-121.9166,55.65,78,100,21.0,overcast clouds
261,Tessalit,ML,20.1986,1.0114,84.15,12,99,7.65,overcast clouds
262,Mnogovershinnyy,RU,53.9353,139.9242,-4.61,92,100,13.44,light snow
263,Pampa,US,35.5362,-100.9599,35.64,60,0,21.85,clear sky
264,Mahebourg,MU,-20.4081,57.7,77.29,73,40,4.61,scattered clouds
265,Jiuquan,CN,39.7432,98.5174,17.33,76,99,1.74,overcast clouds
266,Rio Grande,BR,-32.035,-52.0986,86.11,77,74,13.49,broken clouds
267,Floresta,BR,-8.6011,-38.5686,88.68,42,81,9.89,broken clouds
268,Acajutla,SV,13.5928,-89.8275,81.19,61,99,4.9,overcast clouds
269,Lagunas,PE,-5.2269,-75.6753,88.83,55,88,6.06,overcast clouds
270,Imbituba,BR,-28.24,-48.6703,78.85,73,97,13.15,overcast clouds
271,Lompoc,US,34.6391,-120.4579,50.85,92,0,9.22,clear sky
272,Nador,MA,35.174,-2.9287,64.47,67,20,6.91,few clouds
273,Leshukonskoye,RU,64.8989,45.7622,22.71,97,100,3.65,light snow
274,Douentza,ML,14.9951,-2.9517,92.08,9,26,3.76,scattered clouds
275,Jungapeo,MX,19.45,-100.4833,68.81,70,58,3.2,broken clouds
276,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,75,20,7.0,few clouds
277,Port Hedland,AU,-20.3167,118.5667,80.65,78,0,9.22,clear sky
278,Egvekinot,RU,66.3167,-179.1667,26.47,99,100,11.74,snow
279,Tazovskiy,RU,67.4667,78.7,-5.31,98,96,8.28,overcast clouds
280,Doha,QA,25.2867,51.5333,79.11,57,0,6.91,clear sky
281,Hasaki,JP,35.7333,140.8333,45.28,80,100,11.43,overcast clouds
282,Verkhnyaya Inta,RU,65.9811,60.3094,-7.71,100,72,5.14,broken clouds
283,Da Nang,VN,16.0678,108.2208,76.98,88,75,5.75,broken clouds
284,Boca Do Acre,BR,-8.7522,-67.3978,94.33,42,42,5.82,scattered clouds
285,Portland,US,45.5234,-122.6762,38.61,93,75,9.22,broken clouds
286,Hibbing,US,47.4272,-92.9377,8.38,49,100,5.75,overcast clouds
287,Palembang,ID,-2.9167,104.7458,78.89,94,40,2.3,scattered clouds
288,Neiafu,TO,-18.65,-173.9833,79.48,83,40,6.91,scattered clouds
289,Ravenna,IT,44.4167,11.9833,48.49,79,94,9.86,overcast clouds
290,Hithadhoo,MV,-0.6,73.0833,81.7,64,60,5.12,broken clouds
291,Castrillon,ES,43.3979,-6.7922,52.79,65,1,4.97,clear sky
292,Glendive,US,47.1053,-104.7125,17.19,85,0,4.61,clear sky
293,Xai-Xai,MZ,-25.0519,33.6442,76.24,63,1,10.67,clear sky
294,Creemore,CA,44.327,-80.1075,33.6,80,70,12.66,broken clouds
295,Weinan,CN,34.5036,109.5089,27.0,39,98,4.61,overcast clouds
296,Caravelas,BR,-17.7125,-39.2481,83.8,66,100,8.08,overcast clouds
297,Hurricane,US,37.1753,-113.2899,32.34,54,22,4.41,few clouds
298,Wanning,CN,18.8003,110.3967,70.07,92,100,14.97,overcast clouds
299,Reconquista,AR,-29.15,-59.65,91.2,37,96,12.33,moderate rain
300,Kingaroy,AU,-26.5333,151.8333,55.0,90,99,8.97,overcast clouds
301,Fontem,CM,5.4685,9.8818,76.68,62,100,3.04,light rain
302,Ostrovnoy,RU,68.0531,39.5131,28.4,93,100,7.96,overcast clouds
303,Liverpool,GB,53.4106,-2.9779,44.62,92,75,5.99,mist
304,Dingle,PH,10.9995,122.6711,76.08,94,100,7.49,overcast clouds
305,Bandarbeyla,SO,9.4942,50.8122,79.2,81,63,20.02,broken clouds
306,Shadrinsk,RU,56.0852,63.6335,5.67,88,100,6.82,overcast clouds
307,Hirara,JP,24.8,125.2833,73.53,75,100,24.38,overcast clouds
308,Port Blair,IN,11.6667,92.75,84.24,79,40,2.3,mist
309,Mount Isa,AU,-20.7333,139.5,74.97,29,0,9.22,light rain
310,Leningradskiy,RU,69.3833,178.4167,26.33,76,100,10.74,overcast clouds
311,Burns Lake,CA,54.2331,-125.7533,-26.18,97,8,3.13,clear sky
312,Vung Tau,VN,10.346,107.0843,80.06,83,100,13.18,light rain
313,Aasiaat,GL,68.7098,-52.8699,8.06,79,100,3.67,overcast clouds
314,Muros,ES,42.7762,-9.0603,60.67,66,0,3.0,clear sky
315,Madras,IN,13.0878,80.2785,82.38,83,40,4.61,mist
316,Ilo,PE,-17.6394,-71.3375,72.46,64,0,9.22,clear sky
317,Anchorage,US,61.2181,-149.9003,17.64,89,40,5.75,scattered clouds
318,Shaoxing,CN,30.011,120.5715,33.75,100,100,4.18,snow
319,Bathsheba,BB,13.2167,-59.5167,84.81,65,40,21.85,scattered clouds
320,Ganserndorf,AT,48.3392,16.7202,42.19,77,29,6.2,scattered clouds
321,Alice Springs,AU,-23.7,133.8833,62.15,39,2,0.0,clear sky
322,Havre-Saint-Pierre,CA,50.2334,-63.5986,37.4,93,100,11.5,light rain
323,Tarauaca,BR,-8.1614,-70.7656,91.15,49,100,6.69,overcast clouds
324,Nelson Bay,AU,-32.7167,152.15,66.0,92,100,7.0,light rain
325,Inirida,CO,3.8653,-67.9239,86.14,61,99,1.01,overcast clouds
326,Haapiti,PF,-17.5667,-149.8667,74.93,82,100,15.93,moderate rain
327,Christchurch,NZ,-43.5333,172.6333,50.95,83,75,3.44,broken clouds
328,Faanui,PF,-16.4833,-151.75,78.91,80,72,12.08,light rain
329,Morales,CO,2.757,-76.6172,62.92,92,86,1.39,overcast clouds
330,Grand Gaube,MU,-20.0064,57.6608,77.4,68,45,3.0,scattered clouds
331,Laguna,US,38.421,-121.4238,50.14,84,100,21.85,overcast clouds
