City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
567,Linhares,BR,80.82,overcast clouds,-19.3911,-40.0722,Days Inn Linhares
573,Pangkalanbuun,ID,74.41,overcast clouds,-2.6833,111.6167,Hotel Tiara
574,Sao Joao Da Barra,BR,78.89,overcast clouds,-21.6403,-41.0511,Pousada Mediterrâneo
577,Honiara,SB,78.06,light rain,-9.4333,159.95,King Solomon Hotel
578,Mahanoro,MG,75.94,few clouds,-19.9,48.8,Vanilla Bungalow
580,Adeje,ES,71.6,few clouds,28.1227,-16.726,Royal Garden Villas
586,La Orilla,MX,83.64,scattered clouds,17.9833,-102.2333,Victoria
591,Tabatinga,BR,87.89,scattered clouds,-4.2525,-69.9381,Hotel Solimões
595,Tocopilla,CL,70.16,clear sky,-22.092,-70.1979,hotel Isidora
615,Miramar,US,81.01,few clouds,25.9873,-80.2323,El Palacio Sports Hotel
617,Iranshahr,IR,71.94,clear sky,27.2025,60.6848,هتل قصِر
618,Male,MV,80.55,broken clouds,4.1748,73.5089,Champa Central Hotel
620,Bani,DO,83.86,clear sky,18.2833,-70.3333,HOTEL GLAMOURS
624,Asosa,ET,71.89,overcast clouds,10.0667,34.5333,Africa Hotel
627,Ingraj Bazar,IN,67.75,clear sky,25.0,88.15,Raj Hotel
629,Alexandria,EG,69.76,clear sky,31.2156,29.9553,Smoha Zahran Haus (7th floor)
630,Kloulklubed,PW,79.3,broken clouds,7.0419,134.2556,The Adventures Inn
631,Bom Jesus,BR,77.56,overcast clouds,-9.0744,-44.3586,Hotel Brasão
632,Mahina,PF,74.97,light rain,-17.5065,-149.489,Motu Martin
634,Sao Jose Da Coroa Grande,BR,83.34,broken clouds,-8.8978,-35.1478,Hotel do Sol
636,Benguela,AO,78.66,moderate rain,-12.5763,13.4055,Hotel Moibela
641,Kerema,PG,77.38,overcast clouds,-7.9631,145.7785,Kerema Hotel
654,Puerto Leguizamo,CO,89.83,few clouds,-0.1934,-74.7819,Hotel Girasoles
657,Ishigaki,JP,69.93,broken clouds,24.3448,124.1572,アートホテル石垣島
661,Mackay,AU,67.68,overcast clouds,-21.15,149.2,Mackay Oceanside Central Apartment Hotel
662,Ternate,ID,80.62,overcast clouds,0.8,127.4,Boulivard ternate
663,Tutoia,BR,85.12,broken clouds,-2.7619,-42.2744,Pousada San Vicente
664,Lorengau,PG,80.42,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
670,Ca Mau,VN,76.59,overcast clouds,9.1769,105.15,Khách sạn Song Ngọc
